"filename","signature"
"In-Fisherman - Bass Hunter 64 (USA).z64","C2494E54"
"Indiana Jones and the Infernal Machine (USA).z64","474FE11B"
"Indy Racing 2000 (USA).z64","BA67D4E1"
"International Superstar Soccer '98 (USA).z64","F785EDB4"
"International Superstar Soccer 2000 (USA) (En,Es) (Rev 1).z64","1D7FCCFE"
"International Superstar Soccer 2000 (USA) (En,Es).z64","A63CC09A"
"International Superstar Soccer 64 (USA).z64","17E4AEB2"
"International Track & Field 2000 (USA).z64","4923D13B"
"Jeopardy! (USA).z64","BE433913"
"Jeremy McGrath Supercross 2000 (USA) (Beta).z64","D2DD7E22"
"Jeremy McGrath Supercross 2000 (USA).z64","563B66FA"
"Jet Force Gemini (USA) (Demo) (Kiosk).z64","99A87281"
"Jet Force Gemini (USA).z64","8CAD7830"
"John Romero's Daikatana (USA).z64","7883F218"
"Ken Griffey Jr.'s Slugfest (USA).z64","3884976C"
"Killer Instinct Gold (USA) (Rev 1).z64","B5B713CD"
"Killer Instinct Gold (USA) (Rev 2).z64","9DF2A0FB"
"Killer Instinct Gold (USA).z64","9A028D50"
"Kirby 64 - The Crystal Shards (USA) (LodgeNet).z64","408EAED1"
"Kirby 64 - The Crystal Shards (USA).z64","C2A949F2"
"Knife Edge - Nose Gunner (USA).z64","34C2C4A8"
"Knockout Kings 2000 (USA).z64","2FA7D906"
"Kobe Bryant in NBA Courtside (USA).z64","717CB88D"
"LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).z64","5172939B"
"Legend of Zelda, The - Majora's Mask (USA) (Demo) (Kiosk).z64","8BE5BAAC"
"Legend of Zelda, The - Majora's Mask (USA) (GameCube).z64","C2871DAA"
"Legend of Zelda, The - Majora's Mask (USA) (LodgeNet).z64","5155B15E"
"Legend of Zelda, The - Majora's Mask (USA).z64","8E94F2DD"
"Legend of Zelda, The - Ocarina of Time (USA) (Beta).z64","01FCA7FF"
"Legend of Zelda, The - Ocarina of Time (USA) (GameCube).z64","93EC156D"
"Legend of Zelda, The - Ocarina of Time (USA) (LodgeNet).z64","5B949DC4"
"Legend of Zelda, The - Ocarina of Time (USA) (Rev 1).z64","53D8A515"
"Legend of Zelda, The - Ocarina of Time (USA) (Rev 2).z64","FCF7FF34"
"Legend of Zelda, The - Ocarina of Time (USA).z64","E5240D18"
"Legend of Zelda, The - Ocarina of Time - Master Quest (USA) (GameCube).z64","D7C30219"
"Legend of Zelda, The - The Sealed Palace (USA) (v1.21) (Aftermarket) (Pirate).z64","0CE174EB"
"Legend of Zelda, The - The Sealed Palace (USA) (v1.3) (Aftermarket) (Pirate).z64","905617CE"
"Lode Runner 3-D (USA).z64","12E55D5E"
"MRC - Multi-Racing Championship (USA).z64","377E874D"
"Mace - The Dark Age (USA) (Beta).z64","14D6AAE2"
"Mace - The Dark Age (USA).z64","871BBC72"
"Madden Football 64 (USA).z64","7CA344CC"
"Madden NFL 2000 (USA).z64","BA12A9A9"
"Madden NFL 2001 (USA).z64","E009A99C"
"Madden NFL 2002 (USA).z64","636C6FF8"
"Madden NFL 99 (USA) (1998-08-05) (Beta).z64","3AF8CF55"
"Madden NFL 99 (USA) (Rev 1).z64","555EA2FB"
"Madden NFL 99 (USA).z64","088CA0DB"
"Magical Tetris Challenge (USA).z64","DD780ABF"
"Major League Baseball Featuring Ken Griffey Jr. (USA).z64","04243654"
"Mario Golf (USA) (LodgeNet).z64","A89F70E8"
"Mario Golf (USA).z64","646054A7"
"Mario Kart 64 (USA) (LodgeNet).z64","7F2D392F"
"Mario Kart 64 (USA).z64","03CC04EE"
"Mario Party (USA).z64","025B1BEB"
"Mario Party 2 (USA) (Wii Virtual Console).z64","6BB03F80"
"Mario Party 2 (USA).z64","6BB03F80"
"Mario Party 3 (USA) (Beta).z64","660A44DC"
"Mario Party 3 (USA) (LodgeNet).z64","403092EB"
