"filename","signature"
"Mini Racers (NTSC) (Ja) (Proto)","D2BEF892"
"Mischief Makers (NTSC) (Rev 1)","B7108E95"
"Mischief Makers (NTSC)","941DBDC7"
"Mission - Impossible (NTSC)","DE05BEBD"
"Monaco Grand Prix (NTSC)","D1610042"
"Monopoly (NTSC)","B54EC52B"
"Monster Truck Madness 64 (NTSC)","6563ADE7"
"Mortal Kombat 4 (NTSC) (LodgeNet)","E37614BD"
"Mortal Kombat 4 (NTSC)","E0A11622"
"Mortal Kombat Mythologies - Sub-Zero (NTSC)","DD7CBFD6"
"Mortal Kombat Trilogy (NTSC) (1996-05-13) (Beta)","2B776FF8"
"Mortal Kombat Trilogy (NTSC) (Rev 1)","D4069EFC"
"Mortal Kombat Trilogy (NTSC) (Rev 2)","0FA0615B"
"Mortal Kombat Trilogy (NTSC)","4C7ACA52"
"Ms. Pac-Man - Maze Madness (NTSC)","903404E6"
"Mystical Ninja Starring Goemon (NTSC)","ADD7A87D"
"NASCAR 2000 (NTSC)","7BF2D3EB"
"NASCAR 99 (NTSC)","DA3391CC"
"NBA Courtside 2 featuring Kobe Bryant (NTSC)","6E251C9D"
"NBA Hangtime (NTSC)","95C1FEC7"
"NBA Jam 2000 (NTSC)","EE0902DE"
"NBA Jam 99 (NTSC) (Beta) (1998-09-25)","EDB19F36"
"NBA Jam 99 (NTSC)","AC73D889"
"NBA Live 2000 (NTSC) (En,Fr,De,Es)","DFF3047B"
"NBA Live 99 (NTSC) (En,Fr,De,Es,It)","2C389B1C"
"NBA Showtime - NBA on NBC (NTSC)","C2880286"
"NBA in the Zone '98 (NTSC)","5C02725A"
"NBA in the Zone '99 (NTSC)","7D55EEE7"
"NBA in the Zone 2000 (NTSC)","5E210D99"
"NFL Blitz (NTSC)","5738BDA3"
"NFL Blitz - Special Edition (NTSC)","AB10BD70"
"NFL Blitz 2000 (NTSC) (Rev 1)","1959A08A"
"NFL Blitz 2000 (NTSC)","DCE98B4C"
"NFL Blitz 2001 (NTSC)","3049173B"
"NFL QB Club 2001 (NTSC)","0498E26E"
"NFL Quarterback Club 2000 (NTSC)","09C9EBF2"
"NFL Quarterback Club 98 (NTSC)","079955A7"
"NFL Quarterback Club 99 (NTSC)","EC4D4431"
"NHL 99 (NTSC)","315BD0E7"
"NHL Blades of Steel '99 (NTSC)","AA3B76F1"
"NHL Breakaway 98 (NTSC)","572A9139"
"NHL Breakaway 99 (NTSC)","B04BDBDF"
"Nagano Winter Olympics '98 (NTSC)","0149B304"
